Company,Year,ROA,ROE,Revenue,Total Assets,PAT,Equity
SGR,2016,"17,35%","56,04%",1.079.179,1.574.514,273.135,487.352
SGR,2017,"9,01%","24,17%",532.786,1.549.509,139.653,577.681
SGR,2018,"6,41%","18,84%",376.436,1.966.352,126.116,669.512
SGR,2019,"4,25%","12,85%",121.323,2.094.544,89.051,693.079
SGR,2020,"5,21%","13,66%",76.647,1.956.899,101.865,745.741
SGR,2021,"1,74%","4,99%",172.807,1.998.571,34.816,697.602
SGR,2022,"10,77%","24,47%",654.438,1.999.085,215.379,880.018
SGR,2023,"4,98%","11,11%",99.165,2.047.846,102.017,918.276
SGR,2024,"2,63%","6,08%",151.466,2.252.296,59.228,974.768
SGR,2025,"2,86%","5,46%",218.631,2.736.864,78.255,1.433.652
VGC,2015,"2,82%","9,94%",7.819.905,11.663.300,328.387,3.302.134
VGC,2016,"3,96%","11,76%",8.138.779,12.989.462,513.750,4.367.114
VGC,2017,"3,74%","8,93%",9.196.506,16.034.245,600.137,6.719.744
VGC,2018,"3,42%","8,23%",8.812.096,16.533.192,565.495,6.871.919
VGC,2019,"3,28%","9,23%",10.145.642,19.887.754,651.502,7.055.076
VGC,2020,"2,82%","8,55%",9.433.049,21.323.240,600.750,7.024.115
VGC,2021,"5,56%","14,64%",11.194.313,21.997.051,1.223.652,8.356.844
VGC,2022,"7,53%","19,02%",14.592.450,22.958.921,1.728.187,9.085.429
VGC,2023,"5,05%","12,79%",13.193.818,24.100.190,1.218.120,9.524.318
VGC,2024,"4,45%","11,10%",11.906.356,24.827.419,1.104.735,9.953.000
VGC,2025,"5,31%","12,13%",13.314.758,26.436.635,1.403.242,11.570.893
OGC,2015,"8,98%","30,48%",929.713,6.920.109,621.262,2.038.279
OGC,2016,"-12,09%","-60,75%",1.170.774,6.020.997,-727.936,1.198.195
OGC,2017,"-8,82%","-55,98%",1.133.714,5.354.709,-472.517,844.155
OGC,2018,"0,55%","2,97%",1.242.730,4.714.935,26.014,874.765
OGC,2019,"1,75%","9,81%",1.208.926,4.263.864,74.625,760.795
OGC,2020,"2,96%","9,01%",903.545,3.760.343,111.310,1.234.896
OGC,2021,"-2,59%","-7,49%",409.277,2.932.844,-75.970,1.013.950
OGC,2022,"1,35%","3,80%",1.011.062,2.986.914,40.439,1.063.505
OGC,2023,"1,97%","6,04%",984.685,4.767.834,94.080,1.557.099
OGC,2024,"2,65%","6,88%",1.006.899,4.508.611,119.298,1.734.999
OGC,2025,"1,51%","3,53%",1.141.408,4.449.009,67.112,1.898.922
VC3,2015,"3,49%","17,73%",477.037,1.232.421,42.965,242.305
VC3,2016,"6,51%","25,11%",557.042,1.157.266,75.304,299.950
VC3,2017,"5,54%","13,09%",542.239,785.519,43.501,332.441
VC3,2018,"2,50%","5,50%",290.305,843.835,21.077,383.562
VC3,2019,"4,90%","11,57%",330.006,1.025.506,50.281,434.479
VC3,2020,"1,04%","1,90%",122.075,1.331.255,13.852,727.417
VC3,2021,"4,03%","7,82%",200.867,1.519.857,61.202,782.760
VC3,2022,"1,98%","6,12%",514.210,3.713.348,73.392,1.199.091
VC3,2023,"4,18%","10,52%",806.322,3.368.739,140.972,1.340.239
VC3,2024,"2,12%","4,66%",611.368,3.086.772,65.466,1.405.753
VC3,2025,"3,29%","6,71%",607.677,3.030.224,99.765,1.487.058
VPI,2015,"-0,17%","-1,02%",223.333,2.110.483,-3.505,343.903
VPI,2016,"0,66%","4,92%",772.104,2.693.511,17.896,363.505
VPI,2017,"11,28%","20,70%",875.449,3.737.475,421.718,2.036.804
VPI,2018,"6,27%","17,16%",258.265,6.722.364,421.646,2.457.569
VPI,2019,"5,64%","18,81%",3.057.265,8.972.345,506.343,2.691.168
VPI,2020,"3,10%","10,17%",2.164.999,9.703.534,300.922,2.958.224
VPI,2021,"3,54%","10,26%",2.610.596,9.835.484,348.132,3.394.445
VPI,2022,"4,86%","14,36%",2.152.086,11.095.990,539.690,3.758.707
VPI,2023,"3,96%","12,51%",1.864.842,12.530.858,496.225,3.966.629
VPI,2024,"2,95%","6,47%",1.897.331,11.138.519,328.475,5.074.140
VPI,2025,"2,65%","7,14%",1.976.352,14.727.969,390.644,5.474.402
KHG,2015,,,,,,
KHG,2016,,,,,,
KHG,2017,,,,,,
KHG,2018,"1,16%","1,31%",171.055,1.413.807,16.433,1.251.213
KHG,2019,"0,73%","0,81%",136.65,1.399.746,10.156,1.261.369
KHG,2020,"4,08%","5,50%",302.97,2.370.523,96.706,1.758.075
KHG,2021,"6,44%","8,80%",1.288.142,6.420.340,413.504,4.697.378
KHG,2022,"6,28%","8,61%",1.396.204,7.044.645,442.469,5.139.847
KHG,2023,"0,40%","0,49%",330.53,6.390.734,25.361,5.165.208
KHG,2024,"0,83%","1,05%",309.842,6.591.186,54.626,5.219.834
KHG,2025,"0,98%","1,30%",601.302,6.994.484,68.709,5.289.632
DXS,2015,,,,,,
DXS,2016,,,,,,
DXS,2017,,,,,,
DXS,2018,"17,40%","46,58%",2.479.153,5.982.843,1.041.174,2.235.162
DXS,2019,"18,16%","32,15%",4.090.733,8.993.139,1.632.944,5.078.529
DXS,2020,"10,23%","19,45%",3.249.212,11.095.041,1.135.538,5.839.337
DXS,2021,"5,77%","11,25%",4.328.806,15.147.811,873.462,7.763.525
DXS,2022,"3,19%","6,40%",4.096.290,16.602.259,529.940,8.284.884
DXS,2023,"-1,04%","-1,98%",1.997.404,15.457.120,-160.262,8.102.944
DXS,2024,"1,65%","2,98%",2.437.887,15.068.519,248.079,8.316.413
DXS,2025,"3,11%","5,93%",3.966.299,16.842.602,523.442,8.832.413
NLG,2015,"4,15%","8,60%",1.258.544,5.022.018,208.589,2.426.495
NLG,2016,"6,24%","12,31%",2.533.799,6.208.809,387.570,3.147.274
NLG,2017,"9,56%","20,31%",3.161.312,7.905.948,756.165,3.722.748
NLG,2018,"9,27%","19,29%",3.479.608,9.574.400,887.193,4.600.315
NLG,2019,"9,24%","16,25%",2.546.101,10.904.394,1.007.273,6.199.933
NLG,2020,"6,23%","12,65%",2.216.719,13.642.706,850.327,6.720.338
NLG,2021,"6,26%","10,93%",5.205.519,23.617.638,1.477.959,13.527.665
NLG,2022,"3,20%","6,50%",4.338.841,27.084.709,865.546,13.315.130
NLG,2023,"2,80%","5,92%",3.181.422,28.611.223,800.477,13.532.755
NLG,2024,"4,58%","9,52%",7.196.050,30.318.114,1.387.389,14.568.926
NLG,2025,"3,56%","6,38%",5.645.087,26.564.516,946.309,14.824.244
HDC,2015,"4,06%","7,66%",423.552,1.197.205,48.610,634.389
HDC,2016,"4,17%","8,88%",478.861,1.424.146,59.342,667.972
HDC,2017,"5,40%","11,32%",410.121,1.501.815,81.066,716.022
HDC,2018,"6,47%","13,20%",715.260,1.638.446,105.973,802.792
HDC,2019,"5,93%","12,61%",824.544,2.463.325,146.005,1.157.577
HDC,2020,"6,94%","20,25%",838.973,3.332.284,231.281,1.142.139
HDC,2021,"8,24%","20,97%",1.352.323,3.776.882,311.249,1.483.977
HDC,2022,"9,51%","22,57%",1.298.031,4.421.841,420.619,1.863.772
HDC,2023,"2,81%","6,92%",665.457,4.698.875,131.972,1.908.013
HDC,2024,"1,37%","2,94%",546.228,4.877.377,66.905,2.272.109
HDC,2025,"10,54%","21,83%",456.498,6.082.167,641.228,2.936.750
HHS,2015,"16,37%","17,42%",3.507.998,2.937.879,481.001,2.761.169
HHS,2016,"4,39%","4,52%",1.576.843,3.152.397,138.515,3.067.125
HHS,2017,"2,72%","2,86%",1.234.787,3.378.239,91.989,3.220.194
HHS,2018,"5,24%","5,63%",1.151.745,3.505.642,183.558,3.260.230
HHS,2019,"5,25%","5,54%",590.396,3.627.724,190.279,3.432.064
HHS,2020,"7,20%","7,59%",605.482,3.946.663,284.192,3.742.103
HHS,2021,"5,46%","5,90%",516.363,4.265.257,232.770,3.942.043
HHS,2022,"4,94%","5,33%",385.295,4.492.591,221.997,4.166.137
HHS,2023,"7,45%","7,73%",366.575,4.673.591,348.148,4.501.281
HHS,2024,"6,70%","7,58%",571.225,5.476.785,367.193,4.846.403
HHS,2025,"15,17%","21,60%",892.760,23.428.211,3.553.215,16.452.359
IDJ,2015,"0,01%","0,01%",13.612,277.339,41,274.273
