Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Asset Turnover Ratio,Equity,Nợ phải trả,LEV
PDR,2025,0,0.0189,0.0415,1324975,27270247,515070,0.0486,12423939,14846308,0.544
CEO,2015,0,0.0532,0.1269,639404,2621012,139432,0.2440,1099046,1521967,0.581
CEO,2016,0,0.0409,0.1002,1410434,3834549,156983,0.3678,1566577,2267972,0.591
CEO,2017,0,0.0314,0.0794,1832799,5652286,177650,0.3243,2238283,3414003,0.604
CEO,2018,0,0.0265,0.0903,2246238,8422490,223232,0.2667,2471279,5951211,0.707
CEO,2019,0,0.0557,0.1222,4550055,8037362,447910,0.5661,3665754,4371607,0.544
CEO,2020,1,-0.0090,-0.0194,1323835,7438270,-67165,0.1780,3456345,3981925,0.535
CEO,2021,1,0.0132,0.0264,901811,7050052,93150,0.1279,3534352,3515699,0.499
CEO,2022,0,0.0395,0.0750,2548999,7060487,278907,0.3610,3719155,3341333,0.473
CEO,2023,0,0.0160,0.0241,1393473,9424848,150764,0.1479,6246056,3178792,0.337
CEO,2024,0,0.0212,0.0301,1307936,8957583,190154,0.1460,6312301,2645282,0.295
CEO,2025,0,0.0203,0.0275,1338663,8730058,177282,0.1533,6441658,2288400,0.262
DXG,2015,0,0.0942,0.1900,1394505,3573347,336629,0.3903,1771359,1801988,0.504
DXG,2016,0,0.0966,0.1519,2506517,5562791,537204,0.4506,3537355,2025436,0.364
DXG,2017,0,0.0732,0.1613,2879241,10264403,750891,0.2805,4653845,5610557,0.547
DXG,2018,0,0.0858,0.1901,4645319,13728715,1178427,0.3384,6199094,7529621,0.548
DXG,2019,0,0.0612,0.1318,5813578,19880517,1216515,0.2924,9227821,10652696,0.536
DXG,2020,1,-0.0213,-0.0546,2890654,23311433,-495745,0.1240,9084041,14227392,0.610
DXG,2021,1,0.0410,0.0865,10089385,28254061,1157260,0.3571,13381475,14872586,0.526
DXG,2022,0,0.0071,0.0153,5511715,30320666,214869,0.1818,14084932,16235735,0.535
DXG,2023,0,0.0060,0.0121,3724826,28786441,171983,0.1294,14186368,14600073,0.507
DXG,2024,0,0.0088,0.0168,4795471,29183374,255935,0.1643,15202281,13981093,0.479
DXG,2025,0,0.0096,0.0174,4191885,38014589,363942,0.1103,20882509,17132079,0.451
PWA,2015,0,,,,,,,,,
PWA,2016,0,,,,,,,,,
PWA,2017,0,0.0020,0.0105,21726,556515,1097,0.0390,104858,451656,0.812
PWA,2018,0,0.0307,0.1958,85999,697787,21446,0.1232,109537,58825,0.084
PWA,2019,0,0.0805,0.3542,418483,535852,43114,0.7810,121718,414133,0.773
PWA,2020,1,0.1051,0.2816,295115,335364,35261,0.8800,125206,210159,0.627
PWA,2021,1,-0.1403,-0.4497,17588,280915,-39403,0.0626,87621,193294,0.688
PWA,2022,0,-0.0328,-0.1052,15023,256241,-8398,0.0586,79796,176445,0.689
PWA,2023,0,-0.0216,-0.0605,19273,211560,-4562,0.0911,75451,136109,0.643
PWA,2024,0,-0.0104,-0.0290,11103,202947,-2114,0.0547,73003,129944,0.640
PWA,2025,0,0.0431,0.1118,25087,199404,8596,0.1258,76859,122544,0.615
TIG,2015,0,0.1006,0.1216,310779,864957,87047,0.3593,715840,149117,0.172
TIG,2016,0,0.0464,0.0520,177617,946204,43904,0.1877,844931,101273,0.107
TIG,2017,0,0.0522,0.0631,186837,1046647,54630,0.1785,865378,181269,0.173
TIG,2018,0,0.0525,0.0594,259746,1130528,59380,0.2298,999824,130704,0.116
TIG,2019,0,0.0774,0.0953,303786,1499508,116070,0.2026,1217366,282142,0.188
TIG,2020,1,0.0392,0.0558,471498,1857035,72831,0.2539,1304415,55262,0.030
TIG,2021,1,0.0554,0.0970,906313,3518555,194890,0.2576,2008994,1509561,0.429
TIG,2022,0,0.0526,0.0909,943537,4315723,227222,0.2186,2500450,1815272,0.421
TIG,2023,0,0.0536,0.0860,1232618,4141564,222119,0.2976,2582760,1558804,0.376
TIG,2024,0,0.0433,0.0843,1495660,4073402,176551,0.3672,2094752,1978649,0.486
TIG,2025,0,0.0182,0.0343,1072169,4079990,74385,0.2628,2170349,1909641,0.468
SGR,2015,0,0.0220,0.0917,128288,900499,19815,0.1425,216011,684488,0.760
SGR,2016,0,0.1735,0.5604,1079179,1574514,273135,0.6854,487352,1087162,0.690
SGR,2017,0,0.0901,0.2417,532786,1549509,139653,0.3438,577681,971828,0.627
SGR,2018,0,0.0641,0.1884,376436,1966352,126116,0.1914,669512,1296841,0.660
SGR,2019,0,0.0425,0.1285,121323,2094544,89051,0.0579,693079,1401464,0.669
SGR,2020,1,0.0521,0.1366,76647,1956899,101865,0.0392,745741,1211158,0.619
SGR,2021,1,0.0174,0.0499,172807,1998571,34816,0.0865,697602,1300969,0.651
SGR,2022,0,0.1077,0.2447,654438,1999085,215379,0.3274,880018,1119067,0.560
SGR,2023,0,0.0498,0.1111,99165,2047846,102017,0.0484,918276,1129569,0.552
SGR,2024,0,0.0263,0.0608,151466,2252296,59228,0.0672,974768,1277528,0.567
SGR,2025,0,0.0286,0.0546,218631,2736864,78255,0.0799,1433652,1303212,0.476
VC3,2015,0,0.0349,0.1773,477037,1232421,42965,0.3871,242305,990116,0.803
VC3,2016,0,0.0651,0.2511,557042,1157266,75304,0.4813,299950,857316,0.741
VC3,2017,0,0.0554,0.1309,542239,785519,43501,0.6903,332441,453078,0.577
VC3,2018,0,0.0250,0.0550,290305,843835,21077,0.3440,383562,460272,0.545
VC3,2019,0,0.0490,0.1157,330006,1025506,50281,0.3218,434479,591027,0.576
VC3,2020,1,0.0104,0.0190,122075,1331255,13852,0.0917,727417,603837,0.454
VC3,2021,1,0.0403,0.0782,200867,1519857,61202,0.1322,782760,737097,0.485
VC3,2022,0,0.0198,0.0612,514210,3713348,73392,0.1385,1199091,2514258,0.677
VC3,2023,0,0.0418,0.1052,806322,3368739,140972,0.2394,1340239,2028500,0.602
VC3,2024,0,0.0212,0.0466,611368,3086772,65466,0.1981,1405753,1681019,0.545
VC3,2025,0,0.0329,0.0671,607677,3030224,99765,0.2005,1487058,1543166,0.509
VPI,2015,0,-0.0017,-0.0102,223333,2110483,-3505,0.1058,343903,1766581,0.837
VPI,2016,0,0.0066,0.0492,772104,2693511,17896,0.2867,363505,2330006,0.865
VPI,2017,0,0.1128,0.2070,875449,3737475,421718,0.2342,2036804,1700670,0.455
VPI,2018,0,0.0627,0.1716,258265,6722364,421646,0.0384,2457569,4264795,0.634
VPI,2019,0,0.0564,0.1881,3057265,8972345,506343,0.3407,2691168,6281177,0.700
VPI,2020,1,0.0310,0.1017,2164999,9703534,300922,0.2231,2958224,6745309,0.695
VPI,2021,1,0.0354,0.1026,2610596,9835484,348132,0.2654,3394445,6441039,0.655
VPI,2022,0,0.0486,0.1436,2152086,11095990,539690,0.1940,3758707,7337284,0.661
VPI,2023,0,0.0396,0.1251,1864842,12530858,496225,0.1488,3966629,8564229,0.683
VPI,2024,0,0.0295,0.0647,1897331,11138519,328475,0.1703,5074140,6064379,0.544
VPI,2025,0,0.0265,0.0714,1976352,14727969,390644,0.1342,5474402,9253567,0.628
KHG,2015,0,,,,,,,,,
KHG,2016,0,,,,,,,,,
KHG,2017,0,,,,,,,,,
KHG,2018,0,0.0116,0.0131,171055,1413807,16433,0.1210,1251213,162594,0.115
KHG,2019,0,0.0073,0.0081,136650,1399746,10156,0.0976,1261369,138377,0.099
KHG,2020,1,0.0408,0.0550,302970,2370523,96706,0.1278,1758075,612449,0.258
KHG,2021,1,0.0644,0.0880,1288142,6420340,413504,0.2006,4697378,1722962,0.268
KHG,2022,0,0.0628,0.0861,1396204,7044645,442469,0.1982,5139847,1904798,0.270
KHG,2023,0,0.0040,0.0049,330530,6390734,25361,0.0517,5165208,1225526,0.192
KHG,2024,0,0.0083,0.0105,309842,6591186,54626,0.0470,5219834,1371352,0.208
KHG,2025,0,0.0098,0.0130,601302,6994484,68709,0.0860,5289632,1704852,0.244
DXS,2015,0,,,,,,,,,
DXS,2016,0,,,,,,,,,
DXS,2017,0,,,,,,,,,
DXS,2018,0,0.1740,0.4658,2479153,5982843,1041174,0.4144,2235162,3747681,0.626
DXS,2019,0,0.1816,0.3215,4090733,8993139,1632944,0.4549,5078529,3914610,0.435
DXS,2020,1,0.1023,0.1945,3249212,11095041,1135538,0.2929,5839337,5255704,0.474
DXS,2021,1,0.0577,0.1125,4328806,15147811,873462,0.2858,7763525,7384286,0.487
DXS,2022,0,0.0319,0.0640,4096290,16602259,529940,0.2467,8284884,8317375,0.501
DXS,2023,0,-0.0104,-0.0198,1997404,15457120,-160262,0.1292,8102944,7354176,0.476
DXS,2024,0,0.0165,0.0298,2437887,15068519,248079,0.1618,8316413,6752106,0.448
DXS,2025,0,0.0311,0.0593,3966299,16842602,523442,0.2355,8832413,8010190,0.476
NLG,2015,0,0.0415,0.0860,1258544,5022018,208589,0.2506,2426495,2595523,0.517
NLG,2016,0,0.0624,0.1231,2533799,6208809,387570,0.4081,3147274,3061536,0.493
NLG,2017,0,0.0956,0.2031,3161312,7905948,756165,0.3999,3722748,4183199,0.529
NLG,2018,0,0.0927,0.1929,3479608,9574400,887193,0.3634,4600315,4289895,0.448
NLG,2019,0,0.0924,0.1625,2546101,10904394,1007273,0.2335,6199933,4704461,0.431
NLG,2020,1,0.0623,0.1265,2216719,13642706,850327,0.1625,6720338,6922368,0.507
NLG,2021,1,0.0626,0.1093,5205519,23617638,1477959,0.2204,13527665,10089972,0.427
NLG,2022,0,0.0320,0.0650,4338841,27084709,865546,0.1602,13315130,13769579,0.508
NLG,2023,0,0.0280,0.0592,3181422,28611223,800477,0.1112,13532755,15078468,0.527
NLG,2024,0,0.0458,0.0952,7196050,30318114,1387389,0.2374,14568926,15749188,0.519
NLG,2025,0,0.0356,0.0638,5645087,26564516,946309,0.2125,14824244,11740272,0.442
HDC,2015,0,0.0406,0.0766,423552,1197205,48610,0.3538,634389,562816,0.470
HDC,2016,0,0.0417,0.0888,478861,1424146,59342,0.3362,667972,756175,0.531
HDC,2017,0,0.0540,0.1132,410121,1501815,81066,0.2731,716022,785794,0.523
HDC,2018,0,0.0647,0.1320,715260,1638446,105973,0.4365,802792,835654,0.510
HDC,2019,0,0.0593,0.1261,824544,2463325,146005,0.3347,1157577,1305748,0.530
HDC,2020,1,0.0694,0.2025,838973,3332284,231281,0.2518,1142139,2190145,0.657
HDC,2021,1,0.0824,0.2097,1352323,3776882,311249,0.3581,1483977,2292905,0.607
HDC,2022,0,0.0951,0.2257,1298031,4421841,420619,0.2935,1863772,2558069,0.579
HDC,2023,0,0.0281,0.0692,665457,4698875,131972,0.1416,1908013,2790862,0.594
HDC,2024,0,0.0137,0.0294,546228,4877377,66905,0.1120,2272109,2605268,0.534
HDC,2025,0,0.1054,0.2183,456498,6082167,641228,0.0751,2936750,3145417,0.517
IDJ,2015,0,0.0001,0.0001,13612,277339,41,0.0491,274273,3048,0.011
IDJ,2016,0,-0.0229,-0.0237,25568,276851,-6329,0.0924,267376,9474,0.034
IDJ,2017,0,0.0094,0.0112,301816,321328,3017,0.9393,270220,51108,0.159
IDJ,2018,0,0.1182,0.1606,245133,437219,51693,0.5607,321840,115378,0.264
IDJ,2019,0,0.0210,0.0825,378185,1389695,29155,0.2721,353555,1036140,0.746
IDJ,2020,1,0.0321,0.1954,410721,2455335,78759,0.1673,403088,2052247,0.836
IDJ,2021,1,0.0587,0.2052,893403,3455629,202807,0.2585,988154,2467476,0.714
IDJ,2022,0,0.0312,0.0759,816873,4729214,147495,0.1727,1944309,2784905,0.589
IDJ,2023,0,0.0234,0.0533,862044,4684044,109395,0.1840,2053718,2630326,0.562
IDJ,2024,0,0.0227,0.0456,717532,4210442,95605,0.1704,2097265,2113177,0.502
IDJ,2025,0,-0.0313,-0.0523,1058640,3330305,-104196,0.3179,1993078,1337227,0.402
NRC,2015,0,,,,,,,,,
NRC,2016,0,0.0582,0.0590,2379,32468,1889,0.0733,31997,471,0.015
NRC,2017,0,0.1243,0.2058,90116,260060,32329,0.3465,157112,102948,0.396
NRC,2018,0,0.1399,0.3433,176745,502612,70335,0.3517,204876,297736,0.592
NRC,2019,0,0.1012,0.2058,532656,855842,86599,0.6224,420742,4351,0.005
NRC,2020,1,0.0808,0.1301,207249,768639,62127,0.2696,477489,29115,0.038
NRC,2021,1,0.0977,0.1709,444037,2022856,197610,0.2195,1155974,867139,0.429
NRC,2022,0,-0.0318,-0.0566,194245,2276809,-72513,0.0853,1282005,994805,0.437
NRC,2023,0,0.0057,0.0092,4629,2083205,11929,0.0022,1293904,789301,0.379
NRC,2024,0,-0.0711,-0.1187,5149,1929368,-137237,0.0027,1155974,773394,0.401
NRC,2025,0,0.0045,0.0076,91608,1970303,8818,0.0465,1167502,8028,0.004
LDG,2015,0,0.0667,0.1540,519862,2314636,154319,0.2246,1002117,1312520,0.567
LDG,2016,0,0.0566,0.1345,496560,2805536,158740,0.1770,1180200,1625336,0.579
LDG,2017,0,0.0776,0.1412,663317,3645523,282894,0.1820,2004008,1641515,0.450
LDG,2018,0,0.1239,0.2347,1718949,4869110,603154,0.3530,2570233,2298877,0.472
LDG,2019,0,0.1031,0.1932,784580,5848491,603229,0.1342,3123026,2725465,0.466
LDG,2020,1,0.0023,0.0042,1388440,5531704,12910,0.2510,3104404,2427300,0.439
LDG,2021,1,0.0206,0.0434,321282,6841069,140653,0.0470,3243923,3597146,0.526
LDG,2022,0,0.0005,0.0013,193172,7860785,4243,0.0246,3241936,4618849,0.588
LDG,2023,0,-0.0726,-0.1942,-36509,7265457,-527174,-0.0050,2713917,4551540,0.626
LDG,2024,0,-0.2446,-1.2433,-173233,6157209,-1505752,-0.0281,1211097,4946112,0.803
LDG,2025,0,0.0115,0.0711,403021,8040290,92726,0.0501,1303824,6736466,0.838
HDG,2015,0,0.0404,0.0945,1479927,3054981,123459,0.4844,1306733,1748248,0.572
HDG,2016,0,0.0352,0.1284,1988494,6700316,235570,0.2968,1834018,4866298,0.726
HDG,2017,0,0.0212,0.0856,2296976,8415503,178375,0.2729,2084146,6331357,0.752
HDG,2018,0,0.0571,0.2354,3221442,11086580,633433,0.2906,2690685,8395895,0.757
HDG,2019,0,0.0672,0.2840,4342517,13866321,931687,0.3132,3280371,10585950,0.763
HDG,2020,1,0.0706,0.2462,4998578,13878648,979142,0.3602,3977421,9901227,0.713
HDG,2021,1,0.0690,0.2034,3777436,15891544,1096498,0.2377,5390330,10501214,0.661
HDG,2022,0,0.0725,0.1673,3581191,15104924,1095618,0.2371,6548012,8556913,0.566
HDG,2023,0,0.0461,0.0920,2889384,14438352,665078,0.2001,7228748,7209604,0.499
HDG,2024,0,0.0251,0.0472,2717613,13849363,348310,0.1962,7375981,6473382,0.467
HDG,2025,0,0.0525,0.0917,2786540,14685890,770390,0.1897,8398383,6287507,0.428
DLG,2015,0,0.0119,0.0376,1637715,6815607,81061,0.2403,2156440,4659167,0.684
DLG,2016,0,0.0094,0.0247,2477282,7010968,65727,0.3533,2658683,4352285,0.621
DLG,2017,0,0.0071,0.0177,2897509,8312491,59362,0.3486,3351760,4960732,0.597
DLG,2018,0,0.0016,0.0041,2914292,8712258,14353,0.3345,3482155,5230103,0.600
DLG,2019,0,-0.0009,-0.0022,2873263,8614513,-7459,0.3335,3430054,5184459,0.602
DLG,2020,1,-0.1130,-0.3709,2034492,8230569,-929778,0.2472,2506555,5724014,0.695
DLG,2021,1,0.0017,0.0051,1544442,7070349,11793,0.2184,2318835,4751514,0.672
DLG,2022,0,-0.2133,-1.0795,1347872,5611846,-1197177,0.2402,1109021,4502825,0.802
DLG,2023,0,-0.1146,-1.0971,1122334,5051949,-578740,0.2222,527515,4524434,0.896
DLG,2024,0,0.0561,0.3246,1058722,4348369,244031,0.2435,751873,3596496,0.827
DLG,2025,0,0.0990,0.4191,699,4215910,417197,0.0002,995422,3220488,0.764
IDC,2015,0,0.0155,0.0688,4609292,13110842,203136,0.3516,2952927,10157914,0.775
IDC,2016,0,0.0310,0.1103,4422688,12517744,388658,0.3533,3524162,8993582,0.718
IDC,2017,0,0.0075,0.0282,4920866,14361473,107117,0.3426,3798481,10562992,0.736
IDC,2018,0,0.0151,0.0499,4154513,13864800,208765,0.2996,4183561,9681239,0.698
IDC,2019,0,0.0241,0.0814,4928746,14315622,344697,0.3443,4232603,10083019,0.704
IDC,2020,1,0.0208,0.0694,4541856,14622957,304426,0.3106,4389202,10233754,0.700
IDC,2021,1,0.0283,0.0904,4301236,16075835,454308,0.2676,5028037,11047799,0.687
IDC,2022,0,0.1039,0.2884,7485390,17013411,1767507,0.4400,6127923,10885488,0.640
IDC,2023,0,0.0786,0.2246,7237032,17720446,1393647,0.4084,6204915,11515531,0.650
IDC,2024,0,0.1062,0.2769,8846411,18800161,1996055,0.4705,7207648,11592512,0.617
IDC,2025,0,0.0833,0.2338,8588150,23201491,1931791,0.3702,8263031,14938460,0.644
