Company,Year,COVID,ROA,ROE,Revenue,Total Assets,PAT,Equity
DIG,2017,0,0.0323,0.0679,1593711,6083230,196235,2890561
DIG,2018,0,0.0474,0.1006,2345008,6832108,323992,3219360
DIG,2019,0,0.0477,0.0975,2115744,8197229,390990,4009446
DIG,2020,1,0.0601,0.1485,2487174,11826163,711238,4790129
DIG,2021,1,0.0585,0.1285,2568689,16846905,986154,7671483
DIG,2022,0,0.0098,0.0185,1896689,14747796,144128,7794735
DIG,2023,0,0.0071,0.0150,1025747,16827607,118727,7893558
DIG,2024,0,0.0062,0.0142,1300999,18539324,114536,8041311
DIG,2025,0,0.0341,0.0645,4717667,18959639,646459,10025617
PDR,2015,0,0.0207,0.0686,402514,7540835,155728,2270832
PDR,2016,0,0.0269,0.1009,1496666,9002350,242520,2403797
PDR,2017,0,0.0442,0.1556,1326626,9948855,439880,2826881
PDR,2018,0,0.0582,0.1832,2147709,11057426,643317,3511626
PDR,2019,0,0.0626,0.2001,3400186,13961379,874139,4368929
PDR,2020,1,0.0781,0.2349,3911212,15617490,1220117,5194277
PDR,2021,1,0.0907,0.2290,3620224,20551879,1865004,8144511
PDR,2022,0,0.0498,0.1228,1504575,22843296,1137263,9260530
PDR,2023,0,0.0325,0.0714,617515,21067823,684059,9579392
PDR,2024,0,0.0065,0.0140,821691,23985552,155088,11058509
PDR,2025,0,0.0189,0.0415,1324975,27270247,515070,12423939
CEO,2015,0,0.0532,0.1269,639404,2621012,139432,1099046
CEO,2016,0,0.0409,0.1002,1410434,3834549,156983,1566577
CEO,2017,0,0.0314,0.0794,1832799,5652286,177650,2238283
CEO,2018,0,0.0265,0.0903,2246238,8422490,223232,2471279
CEO,2019,0,0.0557,0.1222,4550055,8037362,447910,3665754
CEO,2020,1,-0.0090,-0.0194,1323835,7438270,-67165,3456345
CEO,2021,1,0.0132,0.0264,901811,7050052,93150,3534352
CEO,2022,0,0.0395,0.0750,2548999,7060487,278907,3719155
CEO,2023,0,0.0160,0.0241,1393473,9424848,150764,6246056
CEO,2024,0,0.0212,0.0301,1307936,8957583,190154,6312301
CEO,2025,0,0.0203,0.0275,1338663,8730058,177282,6441658
DXG,2015,0,0.0942,0.1900,1394505,3573347,336629,1771359
DXG,2016,0,0.0966,0.1519,2506517,5562791,537204,3537355
DXG,2017,0,0.0732,0.1613,2879241,10264403,750891,4653845
DXG,2018,0,0.0858,0.1901,4645319,13728715,1178427,6199094
DXG,2019,0,0.0612,0.1318,5813578,19880517,1216515,9227821
DXG,2020,1,-0.0213,-0.0546,2890654,23311433,-495745,9084041
DXG,2021,1,0.0410,0.0865,10089385,28254061,1157260,13381475
DXG,2022,0,0.0071,0.0153,5511715,30320666,214869,14084932
DXG,2023,0,0.0060,0.0121,3724826,28786441,171983,14186368
DXG,2024,0,0.0088,0.0168,4795471,29183374,255935,15202281
DXG,2025,0,0.0096,0.0174,4191885,38014589,363942,20882509
GEL,2015,0,,,,,,
GEL,2016,0,,,,,,
GEL,2017,0,,,,,,
GEL,2018,0,,,,,,
GEL,2019,0,,,,,,
GEL,2020,1,,,,,,
GEL,2021,1,,,,,,
GEL,2022,0,0.0487,0.1005,15354257,32723500,1593485,15849884
GEL,2023,0,0.0260,0.0618,14137115,37800143,981860,15899469
GEL,2024,0,0.0309,0.0658,12712652,35575805,1098752,16686510
GEL,2025,0,0.0297,0.0735,14301759,46925726,1393742,18962402
PWA,2015,0,,,,,,
PWA,2016,0,,,,,,
PWA,2017,0,0.0020,0.0105,21726,556515,1097,104858
PWA,2018,0,0.0307,0.1958,85999,697787,21446,109537
PWA,2019,0,0.0805,0.3542,418483,535852,43114,121718
PWA,2020,1,0.1051,0.2816,295115,335364,35261,125206
PWA,2021,1,-0.1403,-0.4497,17588,280915,-39403,87621
PWA,2022,0,-0.0328,-0.1052,15023,256241,-8398,79796
PWA,2023,0,-0.0216,-0.0605,19273,211560,-4562,75451
PWA,2024,0,-0.0104,-0.0290,11103,202947,-2114,73003
PWA,2025,0,0.0431,0.1118,25087,199404,8596,76859
TIG,2015,0,0.1006,0.1216,310779,864957,87047,715840
TIG,2016,0,0.0464,0.0520,177617,946204,43904,844931
TIG,2017,0,0.0522,0.0631,186837,1046647,54630,865378
TIG,2018,0,0.0525,0.0594,259746,1130528,59380,999824
TIG,2019,0,0.0774,0.0953,303786,1499508,116070,1217366
TIG,2020,1,0.0392,0.0558,471498,1857035,72831,1304415
TIG,2021,1,0.0554,0.0970,906313,3518555,194890,2008994
TIG,2022,0,0.0526,0.0909,943537,4315723,227222,2500450
TIG,2023,0,0.0536,0.0860,1232618,4141564,222119,2582760
TIG,2024,0,0.0433,0.0843,1495660,4073402,176551,2094752
TIG,2025,0,0.0182,0.0343,1072169,4079990,74385,2170349
SGR,2015,0,0.0220,0.0917,128288,900499,19815,216011
SGR,2016,0,0.1735,0.5604,1079179,1574514,273135,487352
SGR,2017,0,0.0901,0.2417,532786,1549509,139653,577681
SGR,2018,0,0.0641,0.1884,376436,1966352,126116,669512
SGR,2019,0,0.0425,0.1285,121323,2094544,89051,693079
SGR,2020,1,0.0521,0.1366,76647,1956899,101865,745741
SGR,2021,1,0.0174,0.0499,172807,1998571,34816,697602
SGR,2022,0,0.1077,0.2447,654438,1999085,215379,880018
SGR,2023,0,0.0498,0.1111,99165,2047846,102017,918276
SGR,2024,0,0.0263,0.0608,151466,2252296,59228,974768
